,latitude,longitude,ndvi,gndvi,savi,evi,County,Year,Area_planted_Acr_f,yield_Bu_Acr_f,yield_total_Bu
22,41.05039149,-86.26501127,0.8927099508923365,9.799961725342552,1.3391409085749704,19.80201181216247,FULTON,2014,98000.0,177.9,17434200.0
23,38.31741992,-87.58057102,0.8769670845547144,8.993064813960862,1.3225323916381702,10.120602091893875,GIBSON,2014,101000.0,195.3,19725300.0
24,40.52342395,-85.65679906,0.6523895414302642,4.081010183932304,0.9789778570972236,8.637703385972662,GRANT,2014,79000.0,185.0,14615000.0
25,39.04860273,-86.96527803,0.8765940590242248,8.649989346663938,1.3158174851696376,23.09723561659227,GREENE,2014,49000.0,186.0,9114000.0
26,40.07974005,-86.05075599,0.8042596982799268,7.191126455470874,1.2063277935290289,4.873158462055589,HAMILTON,2014,53000.0,197.3,10456900.0
27,39.82261169,-85.77290861,0.581474070442333,2.7988702447435574,0.8721288796954338,18.352437647941624,HANCOCK,2014,67000.0,188.6,12636200.0
28,38.18653639,-86.1154645,0.6567786923749874,4.292336609427733,0.9853156507187638,6.975055264639015,HARRISON,2014,25500.0,178.0,4539000.0
29,39.76722022,-86.50832298,0.900064697334801,10.919230386858054,1.3503243760694985,22.33601285436153,HENDRICKS,2014,74000.0,198.5,14689000.0
30,39.92958363,-85.39734271,0.7230670628996329,5.663296782961281,1.0849048051345538,11.947126697764364,HENRY,2014,80000.0,192.9,15432000.0
31,40.48354449,-86.11412297,0.8580039039018711,9.132499362841935,1.287201537775212,13.388633572797248,HOWARD,2014,66000.0,200.6,13239600.0
32,40.82651982,-85.48759304,0.7577661122487204,6.145703117817497,1.1365783439541333,15.819735589367582,HUNTINGTON,2014,71000.0,185.4,13163400.0
33,38.9119645,-86.04252112,0.6599127109976147,3.7856681026483967,0.989831462915107,6.632983211223153,JACKSON,2014,59000.0,171.5,10118500.0
34,41.03296976,-87.11884667,0.8821563647789162,8.400558546051831,1.323961754043465,9.210495801181844,JASPER,2014,175000.0,174.2,30484999.999999996
35,40.44118947,-85.00919869,0.8568457380402307,7.783338371866964,1.2855057616076768,13.5496301033677,JAY,2014,78000.0,169.1,13189800.0
36,38.79849447,-85.434437,0.8629802482173806,7.990814759434721,1.2948090939484027,9.33309643571891,JEFFERSON,2014,19500.0,188.0,3666000.0
37,38.99624134,-85.62811551,0.688926671974427,5.046152818117553,1.0337357127118858,18.07675043525841,JENNINGS,2014,38500.0,186.6,7184100.0
38,39.49605983,-86.10317437,0.6550655884892154,3.8118357259594458,0.9826930485745043,13.952302223268186,JOHNSON,2014,52000.0,186.9,9718800.0
39,38.70202833,-87.39823239,0.8779720394233561,8.865065636127609,1.3185741604192038,10.42373524085334,KNOX,2014,121000.0,194.2,23498200.0
40,41.24430064,-85.86158057,0.8766045357830125,9.208888105395696,1.3151490354065862,26.88002573923956,KOSCIUSKO,2014,110000.0,173.5,19085000.0
41,41.56424905,-86.72637332,0.8618034845985043,8.015747756749887,1.292608941812232,12.595447722503318,LA PORTE,2014,130000.0,167.9,21827000.0
